"","year(Date)","states","peak","region"
"485",2012,"Missouri",4747,"missouri"
"486",2012,"Montana",4278,"montana"
"487",2012,"Nebraska",6990,"nebraska"
"488",2012,"Nevada",6354,"nevada"
"489",2012,"New.Hampshire",8230,"new hampshire"
"490",2012,"New.Jersey",10972,"new jersey"
"491",2012,"New.Mexico",8343,"new mexico"
"492",2012,"New.York",10129,"new york"
"493",2012,"North.Carolina",10622,"north carolina"
"494",2012,"North.Dakota",9616,"north dakota"
"495",2012,"Ohio",8606,"ohio"
"496",2012,"Oklahoma",16093,"oklahoma"
"497",2012,"Oregon",4813,"oregon"
"498",2012,"Pennsylvania",8784,"pennsylvania"
"499",2012,"Rhode.Island",9856,"rhode island"
"500",2012,"South.Carolina",9521,"south carolina"
"501",2012,"South.Dakota",7087,"south dakota"
"502",2012,"Tennessee",12857,"tennessee"
"503",2012,"Texas",15289,"texas"
"504",2012,"Utah",3372,"utah"
"505",2012,"Vermont",5077,"vermont"
"506",2012,"Virginia",9501,"virginia"
"507",2012,"Washington",7083,"washington"
"508",2012,"West.Virginia",10505,"west virginia"
"509",2012,"Wisconsin",11502,"wisconsin"
"510",2012,"Wyoming",6175,"wyoming"
"511",2013,"Alabama",13577,"alabama"
"512",2013,"Alaska",7384,"alaska"
"513",2013,"Arizona",20199,"arizona"
"514",2013,"Arkansas",24355,"arkansas"
"515",2013,"California",16326,"california"
"516",2013,"Colorado",9019,"colorado"
"517",2013,"Connecticut",17101,"connecticut"
"518",2013,"Delaware",13563,"delaware"
"519",2013,"District.of.Columbia",9005,"district of columbia"
"520",2013,"Florida",6884,"florida"
"521",2013,"Georgia",10380,"georgia"
"522",2013,"Hawaii",10291,"hawaii"
"523",2013,"Idaho",10330,"idaho"
"524",2013,"Illinois",11964,"illinois"
"525",2013,"Indiana",9306,"indiana"
"526",2013,"Iowa",7462,"iowa"
"527",2013,"Kansas",9963,"kansas"
"528",2013,"Kentucky",13952,"kentucky"
"529",2013,"Louisiana",20084,"louisiana"
"530",2013,"Maine",11507,"maine"
"531",2013,"Maryland",13800,"maryland"
"532",2013,"Massachusetts",15197,"massachusetts"
"533",2013,"Michigan",9128,"michigan"
"534",2013,"Minnesota",18749,"minnesota"
"535",2013,"Mississippi",14185,"mississippi"
"536",2013,"Missouri",6088,"missouri"
"537",2013,"Montana",9656,"montana"
"538",2013,"Nebraska",10691,"nebraska"
"539",2013,"Nevada",14022,"nevada"
"540",2013,"New.Hampshire",14897,"new hampshire"
"541",2013,"New.Jersey",20896,"new jersey"
"542",2013,"New.Mexico",13421,"new mexico"
"543",2013,"New.York",13046,"new york"
"544",2013,"North.Carolina",9454,"north carolina"
"545",2013,"North.Dakota",11887,"north dakota"
"546",2013,"Ohio",10312,"ohio"
"547",2013,"Oklahoma",24586,"oklahoma"
"548",2013,"Oregon",13615,"oregon"
"549",2013,"Pennsylvania",12143,"pennsylvania"
"550",2013,"Rhode.Island",12743,"rhode island"
"551",2013,"South.Carolina",10880,"south carolina"
"552",2013,"South.Dakota",10982,"south dakota"
"553",2013,"Tennessee",13591,"tennessee"
"554",2013,"Texas",18590,"texas"
"555",2013,"Utah",6896,"utah"
"556",2013,"Vermont",11557,"vermont"
"557",2013,"Virginia",10590,"virginia"
"558",2013,"Washington",13388,"washington"
"559",2013,"West.Virginia",13412,"west virginia"
"560",2013,"Wisconsin",16065,"wisconsin"
"561",2013,"Wyoming",8110,"wyoming"
"562",2014,"Alabama",10522,"alabama"
"563",2014,"Alaska",4265,"alaska"
"564",2014,"Arizona",5719,"arizona"
"565",2014,"Arkansas",13108,"arkansas"
"566",2014,"California",6201,"california"
"567",2014,"Colorado",6277,"colorado"
"568",2014,"Connecticut",2672,"connecticut"
"569",2014,"Delaware",6554,"delaware"
"570",2014,"District.of.Columbia",7188,"district of columbia"
"571",2014,"Florida",5228,"florida"
"572",2014,"Georgia",8372,"georgia"
"573",2014,"Hawaii",5523,"hawaii"
"574",2014,"Idaho",5914,"idaho"
"575",2014,"Illinois",6796,"illinois"
"576",2014,"Indiana",9477,"indiana"
"577",2014,"Iowa",9737,"iowa"
"578",2014,"Kansas",6994,"kansas"
"579",2014,"Kentucky",13836,"kentucky"
"580",2014,"Louisiana",10371,"louisiana"
"581",2014,"Maine",3334,"maine"
"582",2014,"Maryland",8057,"maryland"
"583",2014,"Massachusetts",2944,"massachusetts"
"584",2014,"Michigan",7788,"michigan"
"585",2014,"Minnesota",9437,"minnesota"
"586",2014,"Mississippi",10515,"mississippi"
"587",2014,"Missouri",7870,"missouri"
"588",2014,"Montana",3853,"montana"
"589",2014,"Nebraska",5593,"nebraska"
"590",2014,"Nevada",6360,"nevada"
"591",2014,"New.Hampshire",2931,"new hampshire"
"592",2014,"New.Jersey",5681,"new jersey"
"593",2014,"New.Mexico",8359,"new mexico"
"594",2014,"New.York",5553,"new york"
"595",2014,"North.Carolina",9388,"north carolina"
"596",2014,"North.Dakota",5982,"north dakota"
"597",2014,"Ohio",8756,"ohio"
"598",2014,"Oklahoma",12465,"oklahoma"
"599",2014,"Oregon",6333,"oregon"
"600",2014,"Pennsylvania",6228,"pennsylvania"
"601",2014,"Rhode.Island",2651,"rhode island"
"602",2014,"South.Carolina",10918,"south carolina"
"603",2014,"South.Dakota",6596,"south dakota"
"604",2014,"Tennessee",11846,"tennessee"
"605",2014,"Texas",9816,"texas"
"606",2014,"Utah",4916,"utah"
"607",2014,"Vermont",3098,"vermont"
"608",2014,"Virginia",5566,"virginia"
"609",2014,"Washington",5236,"washington"
"610",2014,"West.Virginia",9122,"west virginia"
"611",2014,"Wisconsin",7673,"wisconsin"
"612",2014,"Wyoming",4005,"wyoming"
"613",2015,"Alabama",4886,"alabama"
"614",2015,"Alaska",3219,"alaska"
"615",2015,"Arizona",5558,"arizona"
"616",2015,"Arkansas",10203,"arkansas"
"617",2015,"California",5874,"california"
"618",2015,"Colorado",3212,"colorado"
"619",2015,"Connecticut",3527,"connecticut"
"620",2015,"Delaware",5036,"delaware"
"621",2015,"District.of.Columbia",6133,"district of columbia"
"622",2015,"Florida",3800,"florida"
"623",2015,"Georgia",4138,"georgia"
"624",2015,"Hawaii",8258,"hawaii"
"625",2015,"Idaho",4725,"idaho"
"626",2015,"Illinois",3228,"illinois"
"627",2015,"Indiana",4387,"indiana"
"628",2015,"Iowa",7521,"iowa"
